,precision,recall,f1_score,accuracy
pynput,0.45,0.92,0.60,0.87
python-resize-image,0.14,1.00,0.25,0.14
datadogpy,0.10,0.72,0.17,0.40
ansi2html,NaN,NaN,NaN,NaN
dql,0.68,0.70,0.69,0.69
edx-organizations,0.19,1.00,0.31,0.64
SoCo,0.73,0.69,0.71,0.71
wcwidth,0.00,0.00,0.00,1.00
XBlock,0.79,0.53,0.64,0.61
pghoard,0.13,0.55,0.21,0.68
pyscard,0.02,0.33,0.04,0.81
django-notifications,0.27,0.75,0.40,0.79
pyserial,0.11,0.87,0.20,0.42
PyPDF2,0.00,0.00,0.00,0.96
PyFunctional,0.89,0.81,0.85,0.90
caniusepython3,0.00,0.00,0.00,0.50
w3lib,1.00,1.00,1.00,1.00
flaky,1.00,0.50,0.67,0.94
salt-testing,0.00,0.00,0.00,1.00
aws-shell,0.43,0.81,0.57,0.72
python-snapcast,0.00,0.00,0.00,0.12
python-language-server,0.21,0.55,0.30,0.60
pychromecast,0.90,0.78,0.84,0.79
locationsharinglib,0.08,0.80,0.14,0.83
pymysensors,0.69,0.66,0.68,0.59
tldextract,0.33,0.64,0.44,0.38
edx-oauth2-provider,0.00,0.00,0.00,0.36
howdoi,0.64,0.99,0.78,0.98
schema_salad,0.55,0.27,0.37,0.56
azure-activedirectory-library-for-python,0.42,1.00,0.59,0.93
pyphi,0.66,0.57,0.61,0.53
munch,0.43,1.00,0.60,0.50
varcode,0.34,0.84,0.49,0.55
ansible-lint,0.09,0.50,0.15,0.81
pyensembl,0.21,0.57,0.31,0.57
django-fsm,0.62,0.99,0.76,0.67
python-bugzilla,0.76,0.59,0.67,0.59
gunicorn,0.32,0.36,0.34,0.73
jenkinsapi,0.47,0.43,0.45,0.67
pyhomematic,0.95,0.82,0.88,0.87
PySocks,0.29,0.25,0.27,0.78
coretools,0.04,0.63,0.07,0.81
OWSLib,0.82,0.80,0.81,0.86
analytics-python,0.90,0.29,0.44,0.41
thumbor,0.85,0.93,0.89,0.82
behave,0.18,0.48,0.26,0.65
asks,0.78,0.72,0.75,0.81
pymediainfo,NaN,NaN,NaN,NaN
python-cloudant,0.16,0.59,0.25,0.45
python-mss,0.42,0.33,0.37,0.78
python-sshpubkeys,0.64,1.00,0.78,0.64
hickle,0.25,0.72,0.37,0.55
rtv,0.69,0.40,0.51,0.63
django-sortedm2m,0.24,1.00,0.39,0.29
python-amcrest,0.81,0.51,0.63,0.60
implicit,1.00,0.44,0.62,0.58
bidict,0.48,0.63,0.55,0.47
python-jwt,0.00,0.00,0.00,0.88
blessed,0.74,0.92,0.82,0.90
html5lib-python,0.00,0.00,0.00,0.89
pydash,0.65,0.54,0.59,0.66
pywal,0.76,0.72,0.74,0.65
filterpy,0.00,0.00,0.00,0.92
asttokens,0.52,0.61,0.56,0.79
exif-py,0.74,0.93,0.83,0.73
imgaug,0.22,0.71,0.34,0.60
transitions,0.83,0.92,0.87,0.82
molecule,0.00,0.00,0.00,0.12
queuelib,0.00,0.00,0.00,0.67
sockeye,0.53,0.81,0.64,0.78
edx-search,0.62,0.87,0.72,0.64
edx-drf-extensions,0.44,0.64,0.52,0.75
schematics,0.43,0.71,0.54,0.70
django-rest-swagger,1.00,1.00,1.00,1.00
cheroot,NaN,NaN,NaN,NaN
easyquotation,0.22,0.29,0.25,0.45
parsel,0.00,0.00,0.00,0.00
python-fire,0.71,0.71,0.71,0.67
serverless-application-model,0.76,0.45,0.57,0.66
GPflow,0.68,0.78,0.73,0.63
