,precision,recall,f1_score,accuracy
analytics-python,0.79,1.00,0.89,0.79
ansi2html,1.00,0.12,0.22,0.12
ansible-lint,0.05,1.00,0.09,0.32
asks,0.46,0.92,0.61,0.55
asttokens,0.22,1.00,0.37,0.22
aws-shell,0.28,1.00,0.44,0.42
azure-activedirectory-library-for-python,0.08,1.00,0.15,0.40
behave,0.14,0.66,0.24,0.45
bidict,0.41,0.58,0.48,0.37
blessed,0.30,0.60,0.40,0.54
caniusepython3,0.00,0.00,0.00,0.17
cheroot,0.00,0.00,0.00,0.00
coretools,0.02,0.95,0.04,0.49
datadogpy,0.10,1.00,0.18,0.24
django-fsm,0.57,1.00,0.72,0.60
django-notifications,0.12,1.00,0.22,0.33
django-rest-swagger,0.20,1.00,0.33,0.79
django-sortedm2m,0.24,1.00,0.38,0.26
dql,0.44,0.68,0.54,0.42
easyquotation,0.35,1.00,0.52,0.41
edx-drf-extensions,0.21,0.82,0.33,0.32
edx-oauth2-provider,0.00,0.00,0.00,0.38
edx-organizations,0.11,1.00,0.20,0.33
edx-search,0.55,0.80,0.65,0.54
exif-py,0.29,0.14,0.19,0.17
filterpy,0.00,0.00,0.00,0.03
flaky,0.14,1.00,0.25,0.25
GPflow,0.60,0.80,0.69,0.53
gunicorn,0.26,0.95,0.41,0.47
hickle,0.20,0.80,0.32,0.38
howdoi,0.11,0.34,0.17,0.90
html5lib-python,0.00,0.00,0.00,0.18
imgaug,0.02,0.03,0.02,0.62
implicit,0.70,0.78,0.74,0.58
jenkinsapi,0.33,0.81,0.47,0.41
locationsharinglib,0.03,0.80,0.05,0.51
molecule,0.00,0.00,0.00,0.40
munch,0.33,0.33,0.33,0.50
OWSLib,0.42,0.97,0.58,0.46
parsel,1.00,0.86,0.92,0.86
pghoard,0.10,0.82,0.18,0.43
pychromecast,0.83,0.65,0.73,0.66
pydash,0.48,0.97,0.64,0.50
pyensembl,0.19,0.76,0.30,0.40
PyFunctional,0.54,0.95,0.69,0.69
pyhomematic,0.75,0.95,0.84,0.79
pymediainfo,1.00,1.00,1.00,1.00
pymysensors,0.68,0.68,0.68,0.59
pynput,0.43,0.75,0.55,0.87
PyPDF2,0.06,1.00,0.12,0.40
pyphi,0.67,0.84,0.75,0.63
pyscard,0.01,0.83,0.03,0.22
pyserial,0.12,0.96,0.21,0.41
PySocks,0.19,1.00,0.31,0.30
python-amcrest,0.69,0.70,0.69,0.59
python-bugzilla,0.96,0.81,0.88,0.85
python-cloudant,0.16,0.82,0.27,0.31
python-fire,0.50,0.46,0.48,0.43
python-jwt,0.11,1.00,0.20,0.17
python-language-server,0.16,0.91,0.27,0.23
python-mss,0.42,1.00,0.59,0.72
python-resize-image,0.17,1.00,0.29,0.29
python-snapcast,0.00,0.00,0.00,0.00
python-sshpubkeys,0.64,1.00,0.78,0.64
pywal,0.72,0.78,0.75,0.63
queuelib,0.33,1.00,0.50,0.33
rtv,0.62,0.63,0.62,0.64
salt-testing,0.00,0.00,0.00,0.20
schematics,0.26,0.94,0.41,0.33
schema_salad,0.49,0.53,0.51,0.53
serverless-application-model,0.55,0.94,0.70,0.59
sockeye,0.37,0.54,0.44,0.66
SoCo,0.83,0.64,0.72,0.74
thumbor,0.79,0.63,0.70,0.58
tldextract,0.45,0.91,0.61,0.55
transitions,0.67,0.62,0.64,0.55
varcode,0.27,0.78,0.40,0.40
w3lib,1.00,1.00,1.00,1.00
wcwidth,0.00,0.00,0.00,1.00
XBlock,0.64,0.80,0.71,0.58
